Full Fund Name,Fund,14 Weeks
ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),LLA,66.12
AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,ZFB,48.63
İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IVY,38.29
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,32.84
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,32.78
YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,YZC,32.49
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,31.43
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,30.98
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,29.74
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,29.19
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,29.09
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,27.81
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,27.69
TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,TFF,27.40
ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,RTG,27.26
AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ICZ,27.22
QİNVEST ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),EID,26.04
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,25.82
TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,KIB,25.81
FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,FJB,25.73
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,25.57
GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,GZY,25.29
AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,MTV,25.14
YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,YJK,25.13
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,25.11
A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BIH,24.91
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,24.19
BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,BTE,24.17
OSMANLI PORTFÖY BİRİNCİ SERBEST FON,ODP,24.08
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,23.82
GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,GBV,23.78
İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,IJP,23.76
A1 PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BST,23.73
İŞ PORTFÖY TEKNOLOJİ KARMA FON,ITP,23.58
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,23.33
İŞ ASSET MANAGEMENT BIST TECHNOLOGY CAPPED INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TTE,22.90
İŞ ASSET MANAGEMENT FOREIGN EQUITY FUND,TMG,22.84
AK ASSET MANAGEMENT AMERICA FOREIGN EQUITY FUND,AFA,22.14
İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,IEV,22.11
INVEO ASSET MANAGEMENT FIRST VARIABLE FUND,GPG,21.85
AK PORTFÖY HEALTH SECTOR FOREIGN SHARE FUND,AFS,21.44
GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,GZZ,21.24
KARE ASSET MANAGEMENT SECOND BONDS AND BILLS (FX) FUND,KUB,20.84
AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,TGR,20.81
GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,GZN,20.56
INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,IUH,20.43
HSBC ASSET MANAGEMENT FOREIGN ETF FUND OF FUNDS,HOY,20.42
AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ASJ,20.11
YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),YHZ,20.01
QİNVEST ASSET MANAGEMENT SECOND VARIABLE FUND,EIC,19.73
